Customer_ID,Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Price_USD,Unite_Sold,Sales_Classification,Total_Sales
2001,5 Series,2016,Asia,Red,Petrol,Manual,3.5,151748,98740,8300,High,819542000
2002,i8,2013,North America,Red,Hybrid,Automatic,1.6,121671,79219,3428,Low,271562732
2003,5 Series,2022,North America,Blue,Petrol,Automatic,4.5,10991,113265,6994,Low,792175410
2004,X3,2024,Middle East,Blue,Petrol,Automatic,1.7,27255,60971,4047,Low,246749637
2005,7 Series,2020,South America,Black,Diesel,Manual,2.1,122131,49898,3080,Low,153685840
2006,5 Series,2017,Middle East,Silver,Diesel,Manual,1.9,171362,42926,1232,Low,52884832
2007,i8,2022,Europe,White,Diesel,Manual,1.8,196741,55064,7949,High,437703736
2008,M5,2014,Asia,Black,Diesel,Automatic,1.6,121156,102778,632,Low,64955696
2009,X3,2016,South America,White,Diesel,Automatic,1.7,48073,116482,8944,High,1041815008
2010,i8,2019,Europe,White,Electric,Manual,3,35700,96257,4411,Low,424589627
2011,3 Series,2012,Middle East,White,Electric,Manual,2.4,101595,117995,500,Low,58997500
2012,i8,2016,North America,Blue,Hybrid,Manual,1.9,116863,74539,8252,High,615095828
2013,7 Series,2020,North America,Silver,Diesel,Automatic,3.8,27403,100015,8111,High,811221665
2014,5 Series,2020,Africa,White,Electric,Manual,2.3,163444,119486,4668,Low,557760648
2015,X1,2017,Asia,Black,Electric,Automatic,1.6,107918,34078,7291,High,248462698
2016,M3,2014,North America,Silver,Hybrid,Manual,3,154050,94997,7765,High,737651705
2017,X5,2013,Asia,Blue,Electric,Manual,2.6,110142,114844,5561,Low,638647484
2018,M5,2017,North America,Red,Diesel,Automatic,2.6,86900,81934,9755,High,799266170
2019,5 Series,2017,North America,Silver,Electric,Manual,3.1,57843,111326,4880,Low,543270880
2020,X5,2012,Africa,Blue,Electric,Manual,3.8,142243,82677,7104,High,587337408
2021,X3,2015,North America,Red,Diesel,Automatic,3.7,123910,88091,8635,High,760665785
2022,X1,2014,Africa,White,Petrol,Manual,4.8,13568,62941,1113,Low,70053333
2023,M5,2011,Europe,Grey,Electric,Automatic,3.3,78042,49507,9383,High,464524181
2024,7 Series,2017,North America,Black,Petrol,Automatic,3.2,58288,101791,7521,High,765570111
2025,X5,2021,South America,Red,Diesel,Manual,2.2,184981,47527,6273,Low,298136871
2026,X3,2023,Middle East,White,Electric,Automatic,4.1,194398,85370,4645,Low,396543650
2027,M3,2015,Asia,Red,Hybrid,Manual,2,41514,116902,8897,High,1040077094
2028,X1,2011,North America,Black,Hybrid,Automatic,3.2,104742,107465,6481,Low,696480665
2029,M5,2021,Asia,Red,Hybrid,Automatic,3,105162,32076,9469,High,303727644
2030,M3,2014,Asia,White,Electric,Automatic,3.8,90282,64049,1440,Low,92230560
2031,i8,2010,South America,Black,Hybrid,Automatic,4.7,16020,102215,5006,Low,511688290
2032,i8,2021,South America,Silver,Diesel,Manual,4.8,3188,64577,448,Low,28930496
2033,M5,2019,Asia,Red,Diesel,Manual,2.1,97294,53277,4091,Low,217956207
2034,i8,2015,Asia,White,Hybrid,Automatic,2.4,194395,118788,3384,Low,401978592
2035,X1,2022,Middle East,Grey,Hybrid,Manual,4.3,143013,116432,4926,Low,573544032
2036,M5,2021,South America,Grey,Petrol,Automatic,3.3,88342,108240,4561,Low,493682640
2037,X3,2018,Middle East,White,Petrol,Manual,3.1,33370,52717,8046,High,424160982
2038,i8,2010,Middle East,Grey,Petrol,Automatic,4,98514,37949,2278,Low,86447822
2039,M3,2020,Africa,Black,Petrol,Manual,3.6,82668,86748,3929,Low,340832892
2040,X5,2020,Middle East,White,Hybrid,Automatic,4.9,132299,35401,7110,High,251701110
2041,i3,2024,Middle East,Red,Petrol,Automatic,3.5,135958,69578,173,Low,12036994
2042,M5,2019,South America,White,Diesel,Manual,3.1,192690,37177,5946,Low,221054442
2043,X5,2021,Africa,Red,Diesel,Manual,3.4,99697,60278,2913,Low,175589814
2044,X5,2021,Middle East,Black,Petrol,Automatic,4.3,44279,96256,7627,High,734144512
2045,X5,2024,South America,Black,Hybrid,Manual,3.6,111661,82675,2155,Low,178164625
2046,i8,2023,Europe,Blue,Diesel,Automatic,3.8,78573,118317,7168,High,848096256
2047,i3,2023,North America,Silver,Petrol,Automatic,4.9,94453,79039,8283,High,654680037
2048,5 Series,2024,Asia,Blue,Electric,Manual,3.7,157789,86855,648,Low,56282040
2049,X6,2023,Africa,White,Hybrid,Automatic,2.8,84367,112542,7933,High,892795686
2050,i3,2012,Asia,White,Hybrid,Manual,3.9,193905,93508,8438,High,789020504
2051,X3,2021,Asia,Silver,Hybrid,Automatic,3.8,57759,119692,6782,Low,811751144
2052,M3,2016,Africa,Black,Hybrid,Manual,1.5,113832,49278,3153,Low,155373534
2053,i8,2013,Middle East,White,Petrol,Manual,3.1,42427,44269,5887,Low,260611603
2054,i3,2018,South America,Red,Petrol,Manual,4.1,1428,46127,608,Low,28045216
2055,i8,2012,Middle East,Red,Diesel,Automatic,3.2,110845,100747,3291,Low,331558377
2056,M5,2014,South America,Red,Electric,Automatic,4.2,125379,96739,3754,Low,363158206
2057,X5,2012,Middle East,Black,Petrol,Manual,3.1,107014,57537,4125,Low,237340125
2058,X6,2016,South America,Silver,Hybrid,Automatic,4.9,180186,46263,9762,High,451619406
